"question","answer","department","keywords"
"How can I apply for admission?","You can apply for admission through the official SIT website by filling out the online application form available in the 'Admissions' section.","Admissions","admission,apply,form"
"When does the admission process start?","The admission process usually begins in April every year and continues until seats are filled.","Admissions","admission,dates,apply"
"What is the eligibility for B.Tech courses?","To apply for B.Tech, you must have passed 10+2 with Physics, Chemistry, and Mathematics, and have a valid WBJEE or JEE Main score.","Admissions","eligibility,btech,jee,wBJEE"
"Is there any entrance exam for admission?","Yes, admission to B.Tech programs is based on WBJEE or JEE Main scores.","Admissions","entrance,exam,jee,wBJEE"
"What is the fee structure for B.Tech?","The tuition fee for B.Tech is ₹1,05,000 per semester. Additional charges apply for hostel, exam, and registration.","Fees","btech,fees,tuition"
"Are there any management quota seats?","Yes, a limited number of seats are available under the management quota. Please contact the admission office for more details.","Admissions","management,quota,seats"
"What documents are needed during admission?","You need to submit your 10th and 12th mark sheets, entrance exam scorecard, photo ID, passport size photos, and caste/income certificates if applicable.","Admissions","documents,requirements,admission"
"Is there any scholarship for girls?","Yes, SIT offers special scholarships for meritorious female candidates. Please check the scholarship section of our website for eligibility.","Scholarships","scholarship,girls,female"
"Can international students apply?","Yes, international students can apply through the foreign admissions cell. Valid passport, visa, and academic transcripts are required.","Admissions","international,foreign,students"
"What is the process for lateral entry in B.Tech?","Diploma holders can apply for lateral entry directly into the 2nd year of B.Tech via JELET exam conducted by WBJEEB.","Admissions","lateral entry,jelet,diploma"
"How can I register for counseling?","You can register for counseling on the official WBJEEB or JEE Main portal, depending on your entrance exam.","Admissions","counseling,registration"
"Is there an offline application form available?","No, the application process is entirely online through our website.","Admissions","offline,application,form"
"Can I visit the campus before applying?","Yes, you can visit the campus between 10 AM to 4 PM on weekdays with prior appointment.","Admissions","campus,visit,tour"
"Can I apply for multiple courses?","Yes, you can choose multiple course preferences during the application process.","Admissions","multiple,courses,preferences"
"Are diploma holders eligible for admission?","Yes, diploma holders can apply for lateral entry into 2nd year of B.Tech.","Admissions","diploma,lateral entry"
"What B.Tech branches are available?","We offer B.Tech in Computer Science, Mechanical, Civil, Electrical, and Electronics & Communication.","Academics","btech,branches"
"Does SIT offer MCA or MBA?","Yes, SIT offers both MCA and MBA programs with industry-relevant curriculum.","Academics","mca,mba,pg"
"Do you offer any short-term or certification courses?","Yes, we offer certification programs in Python, AI/ML, IoT, and more.","Academics","short-term,certification"
"Is there any integrated course like B.Tech + MBA?","Currently, we do not offer integrated B.Tech + MBA programs.","Academics","integrated,dual degree"
"What is the duration of B.Tech course?","The B.Tech course duration is 4 years, divided into 8 semesters.","Academics","duration,btech"
"What is the minimum percentage required for admission?","A minimum of 45% marks in 10+2 (PCM) is required for general category students.","Admissions","percentage,eligibility"
"Do you accept CUET scores?","No, currently SIT does not consider CUET for engineering admissions.","Admissions","cuet,exam"
"Can students from other boards apply?","Yes, students from any recognized board in India can apply.","Admissions","cbse,isc,wbchse"
"What is the age limit for admission?","There is no strict age limit, but applicants must have completed 10+2.","Admissions","age,limit"
"Do I need to attend any interview for admission?","No interview is required for B.Tech admissions based on entrance scores.","Admissions","interview,requirement"
"Are the tuition fees same for all branches?","Yes, tuition fees are uniform across all engineering branches.","Fees","tuition,branches"
"Do you offer fee waivers?","Fee waivers are available for economically weaker sections under certain criteria.","Scholarships","fee waiver,economically weak"
"Is there a refund policy for fees?","Yes, fee refunds are governed by AICTE refund rules depending on the withdrawal date.","Fees","refund,policy"
"Can I pay fees in installments?","Yes, semester-wise installment payment is allowed.","Fees","installment,payment"
"What are the modes of payment accepted?","We accept online payments, bank transfers, UPI, and demand drafts.","Fees","payment,modes"
"Are hostels compulsory?","No, hostels are optional, but highly recommended for outstation students.","Hostel","hostel,optional"
"Is Wi-Fi available in hostels?","Yes, Wi-Fi is available 24/7 in all hostel rooms and common areas.","Hostel","wifi,internet"
"Is there separate hostel for girls?","Yes, we have separate secure hostels for girls and boys.","Hostel","girls hostel,separate"
"Is outside food allowed in hostel?","Outside food is generally discouraged; mess food is hygienic and nutritious.","Hostel","outside food,mess"
"Can parents stay on campus during admission?","Yes, limited guest accommodation is available for parents during admission.","Hostel","parents,stay,admission"
"What is the average placement package?","The average package ranges between ₹4.5 to ₹6 LPA depending on the branch.","Placements","average,placement,package"
"Which companies visit the campus?","Top recruiters include TCS, Infosys, Wipro, Capgemini, Cognizant, and more.","Placements","recruiters,companies"
"Are internships mandatory?","Yes, internships are a part of the curriculum in later semesters.","Placements","internship,mandatory"
"Is there training provided for placements?","Yes, we provide pre-placement training including aptitude, soft skills, and coding.","Placements","training,placement"
"Do you have placement for non-CS branches?","Yes, all branches get placement opportunities with relevant companies.","Placements","non-cs,placements"
"Is there an on-campus medical facility?","Yes, a first-aid medical center with doctor-on-call service is available.","Facilities","medical,doctor"
"Do you have a gym on campus?","Yes, a fully equipped gym is available for students.","Facilities","gym,fitness"
"Is there a library in the college?","Yes, SIT has a digital and physical library with thousands of academic resources.","Facilities","library,digital"
"Are there ATM facilities on campus?","Yes, ATMs of major banks are located within the campus.","Facilities","atm,banks"
"Is the campus ragging-free?","Yes, SIT has a strict anti-ragging policy enforced by the disciplinary committee.","Safety","ragging,policy"
"Where is SIT located?","Siliguri Institute of Technology is located at Hill Cart Road, Salbari, Sukna, Siliguri.","General","location,address"
"What are the college timings?","Classes usually run from 9:30 AM to 4:30 PM, Monday to Friday.","General","timings,schedule"
"How can I contact the admission office?","You can call +91-XXXXXXXXXX or email admissions@sittechno.org.","General","contact,admissions"
"Is there any dress code or uniform?","There is no strict dress code, but students are expected to dress decently.","General","uniform,dress code"
"Do you provide transport facility?","Yes, college buses are available from major points in Siliguri.","General","transport,bus"
"Where is the campus located?","Siliguri Institute of Technology is located at Hill Cart Road, Salbari, Sukna, Siliguri, West Bengal - 734009.","General","location,campus,address"
"How big is the campus?","The SIT campus spans over 20 acres and includes academic buildings, hostels, sports grounds, and a library.","General","campus,size,area"
"Does SIT have a library?","Yes, SIT has a central library with thousands of books, journals, and a digital section for online learning.","Facilities","library,books"
"Are Wi-Fi facilities available on campus?","Yes, SIT campus and hostels have high-speed Wi-Fi access for students and faculty.","Facilities","wifi,internet"
"Is there a canteen on campus?","Yes, a hygienic canteen is available with a variety of vegetarian and non-vegetarian food options.","Facilities","canteen,food"
"What are the names of the engineering departments?","SIT offers the following engineering departments: CSE, ECE, ME, CE, and EEE.","Academics","departments,branches,engineering"
"Does SIT offer BCA or BBA?","Yes, SIT offers undergraduate programs like BCA, BBA, and BHM.","Academics","bca,bba,programs"
"What postgraduate programs are offered?","SIT offers postgraduate courses like MCA, MBA, and M.Tech in select branches.","Academics","pg,mtech,mca"
"Can I choose a minor specialization?","Some departments offer minor electives or specialization tracks like AI/ML, Data Science, and IoT.","Academics","specialization,minor,electives"
"Is the syllabus AICTE approved?","Yes, all programs are AICTE approved and follow MAKAUT university guidelines.","Academics","syllabus,aicte,approval"
"What are the placement stats?","Around 80-85% of eligible students are placed each year, with top offers from IT and core sectors.","Placements","placement,statistics"
"What is the highest package?","The highest package offered so far is ₹18 LPA in a tech company.","Placements","highest,salary"
"Is placement assistance provided?","Yes, SIT has a dedicated Career Development Cell offering training, internships, and job support.","Placements","training,placement,cell"
"What are the top recruiting companies?","Top recruiters include TCS, Wipro, Cognizant, Infosys, Capgemini, and Amazon.","Placements","companies,recruiters"
"Is off-campus placement support available?","Yes, students are also guided for off-campus and pooled drives.","Placements","off-campus,pool drive"
"Is hostel accommodation compulsory?","No, hostel stay is optional, but many outstation students prefer it for convenience.","Hostel","compulsory,hostel"
"What is included in hostel fees?","Hostel fees include accommodation, mess food, Wi-Fi, electricity, and laundry services.","Hostel","hostel,charges,fees"
"How many students share one room?","Non-AC rooms are triple-sharing, and AC rooms are twin-sharing.","Hostel","room sharing,hostel"
"Are there separate hostels for boys and girls?","Yes, SIT provides separate hostels for boys and girls with strict security.","Hostel","boys,girls,hostel"
"Is there a curfew in the hostel?","Yes, hostel gates close at 9:30 PM and students must follow the schedule strictly.","Hostel","curfew,timings"
"What are the documents required at admission time?","You need mark sheets, admit card, rank card, photo ID, passport photos, and caste/income certificate if applicable.","Admissions","documents,admission"
"Can I apply without WBJEE or JEE Main?","For B.Tech, entrance scores are mandatory. For other UG/PG courses, direct admission may be available.","Admissions","direct,without jee"
"Are there any reservations?","Yes, reservations follow government norms for SC, ST, OBC, and EWS categories.","Admissions","reservation,quota"
"What is the last date for applying?","The last date varies each year but is usually in July or August.","Admissions","admission,last date"
